module,classification,recommendation,files,lines,screens_widgets,services_engines,models_contracts,local_dependency_count,depends_on,used_by,likely_orphans,duplicate_declaration_involvement
atlas_climate_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1225,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_cloud_security_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1210,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_commercial_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1356,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_commercial_operations,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1238,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_environmental_ai,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1308,1,2,1,4,"animal, animal_enterprise_suite, farm, herd",animal,0,0
atlas_executive_platform,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1255,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_finance_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1391,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_financial_integrations,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1199,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_geospatial_platform,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1300,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_global_platform,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1070,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_governance_operations,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1246,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_governance_people_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1237,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_intelligence_reports_experience,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1104,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_iot_platform,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1218,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_land_intelligence,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,980,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_livestock_integration,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1081,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_official_integrations,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1117,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_operations_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1285,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_os,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1406,1,1,1,3,"core, executive_brain, mission_control","atlas_intelligence, dashboard, executive_core",0,0
atlas_platform_resilience,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1230,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_precision_livestock,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1375,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_quality_release,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1069,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_reproductive_ai,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1076,1,2,1,4,"animal, animal_enterprise_suite, farm, herd",animal,0,0
atlas_reproductive_premium,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1311,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_rural_business,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1203,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_saas_platform,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1302,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_supply_chain,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1001,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_supply_logistics_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1296,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_sustainability_ecosystem,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,988,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_sustainability_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1389,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_veterinary_ai,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1184,1,2,1,4,"animal, animal_enterprise_suite, farm, herd",animal,0,0
automation_strategy,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,2,200,1,1,0,1,core,,1,0
autonomous_consultant,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1212,1,1,1,5,"core, digital_twin, farm_audit, optimization_engine, recommendation_intelligence","dashboard, farm_audit, optimization_engine",0,0
benefits_realization,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1144,1,2,1,4,"decision_intelligence_lab, farm_audit, strategy_execution, value_governance","dashboard, performance_center, portfolio_management, strategy_execution, value_governance",0,0
commercial_platform,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,2,235,1,1,0,1,core,,1,0
data_governance,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,554,1,2,1,0,,dashboard,0,0
data_intelligence,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,327,1,1,1,1,core,,1,0
decision_engine,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1624,1,2,0,4,"atlas_bi, atlas_bi_analytics, executive_ai_advisor, executive_intelligence","atlas_bi, dashboard, decision_engine_v2, decision_tracking",0,1
decision_engine_v2,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1809,1,3,0,5,"atlas_bi, core, decision_engine, predictive_analytics, workflow_engine","atlas_bi, dashboard, mission_control",0,0
decision_intelligence_lab,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1313,1,1,1,4,"farm_audit, knowledge_learning, recommendation_intelligence, strategy_execution","benefits_realization, dashboard, recommendation_intelligence, strategy_execution",0,1
decision_tracking,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1154,1,1,1,2,"atlas_bi, decision_engine",workflow_engine,1,0
digital_twin,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,7,1734,1,3,2,1,core,"autonomous_consultant, core, dashboard, farm_audit, optimization_engine, scenario_simulator",0,0
executive_ai_advisor,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1649,1,1,1,3,"atlas_bi, atlas_bi_analytics, executive_intelligence","atlas_bi, dashboard, decision_engine",0,0
executive_alerts,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,8,3337,1,5,2,12,"animal, animal_health, animal_reproduction, atlas_ai, core, diagnostics, farm, farm_agenda, farm_finance, farm_inventory, herd, paddock","core, dashboard, executive_kpis",0,0
executive_brain,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,10,4532,3,4,2,2,"core, executive_core","atlas_os, copilot, dashboard, mission_control",0,0
executive_core,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,2,1016,0,1,1,2,"atlas_intelligence, atlas_os","dashboard, executive_brain",0,0
executive_goals,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,8,2606,2,4,2,1,executive_kpis,"atlas_bi, dashboard, executive_kpis, strategy_center",0,0
executive_kpis,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,8,3746,2,4,2,3,"atlas_ai, executive_alerts, executive_goals","atlas_bi, dashboard, executive_goals, strategy_center",0,1
governance_resilience,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,2,249,1,1,0,1,core,,1,0
optimization_engine,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,5,1530,2,1,2,4,"autonomous_consultant, core, digital_twin, scenario_simulator","autonomous_consultant, dashboard, scenario_simulator",0,0
portfolio_management,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,714,1,1,1,4,"benefits_realization, strategic_capacity, strategy_execution, value_governance","dashboard, value_governance",0,0
recommendation_intelligence,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,937,1,1,1,3,"decision_intelligence_lab, farm_audit, knowledge_learning","autonomous_consultant, dashboard, decision_intelligence_lab, knowledge_learning",0,0
scenario_simulator,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,7,2227,2,2,2,3,"core, digital_twin, optimization_engine","dashboard, optimization_engine",0,0
strategic_scenario_planning,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,5,1709,1,2,2,1,investment_capital_allocation,"dashboard, strategic_alignment",0,0
strategy_center,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1142,1,2,1,2,"executive_goals, executive_kpis","atlas_bi, dashboard",0,0
strategy_execution,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1380,1,2,1,3,"benefits_realization, decision_intelligence_lab, farm_audit","action_plan, benefits_realization, dashboard, decision_intelligence_lab, portfolio_management, strategic_alignment, strategic_capacity",0,0
value_governance,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,715,1,2,1,2,"benefits_realization, portfolio_management","benefits_realization, dashboard, portfolio_management",0,0
command_center,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,4,945,1,2,1,1,core,dashboard,0,1
consultancy_hub,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,4,636,1,2,1,0,,dashboard,0,0
consultancy_workflow,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,4,585,1,2,1,0,,dashboard,0,1
indicators,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,1,1006,1,0,0,7,"animal, animal_health, animal_reproduction, animal_weight, core, farm, herd",dashboard,0,1
mission_control,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,3,1752,1,1,1,6,"atlas_bi, core, decision_engine_v2, executive_brain, predictive_analytics, workflow_engine","atlas_bi, atlas_os, dashboard",0,0
technical_dashboard,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,13,2857,1,1,11,10,"animal, animal_health, animal_reproduction, animal_weight, core, farm, farm_finance, farm_inventory, herd, nutrition",dashboard,0,0
unified_workflow,CANONICAL_COMPOSITION,KEEP_NO_DUPLICATE_PERSISTENCE,4,991,1,1,2,1,core,"app, dashboard",0,0
action_plan,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,5,1199,1,3,1,4,"core, farm_audit, performance_center, strategy_execution","continuous_improvement, core, dashboard, farm_audit, knowledge_learning, performance_center",0,0
animal,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,8,8526,3,4,1,60,"animal_document, animal_event, animal_executive_panel, animal_genealogy, animal_health, animal_health_enterprise, animal_intelligence_360, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_reproduction_enterprise, animal_weight, animal_weight_intelligence, animal_zootechnical, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai, core, enterprise_platform, farm, farm_finance, herd","animal_document, animal_event, animal_executive_panel, animal_health, animal_health_enterprise, animal_intelligence_360, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_reproduction_enterprise, animal_weight, animal_weight_intelligence, animal_zootechnical, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai, diagnostics, dr_beserra, executive_alerts, farm, farm_handling, herd, indicators, technical_dashboard",0,1
animal_document,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,1919,2,1,1,4,"animal, core, farm, herd","animal, animal_event, animal_intelligence_360, animal_operations_center",0,0
animal_enterprise_suite,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,1,213,1,0,0,0,,"animal_executive_panel, animal_health_enterprise, animal_intelligence_360, animal_nutrition_enterprise, animal_operations_center, animal_reproduction_enterprise, animal_weight_intelligence, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai",0,0
animal_event,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,7,1960,2,2,3,11,"animal, animal_document, animal_health, animal_movement, animal_photo, animal_reproduction, animal_weight, core, enterprise_platform, farm, herd","animal, animal_intelligence_360",0,0
animal_executive_panel,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,1,370,1,0,0,8,"animal, animal_enterprise_suite, animal_health, animal_nutrition_enterprise, animal_reproduction, animal_weight, farm, herd",animal,0,0
animal_genealogy,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,3,774,1,1,1,2,"core, enterprise_platform",animal,0,0
animal_health,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,6,2636,3,2,1,6,"animal, core, farm, farm_handling, farm_inventory, herd","animal, animal_event, animal_executive_panel, animal_health_enterprise, animal_intelligence_360, animal_operations_center, core, dashboard, dr_beserra, executive_alerts, farm, indicators, livestock_operations, technical_dashboard",0,0
animal_health_enterprise,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,1,270,1,0,0,5,"animal, animal_enterprise_suite, animal_health, farm, herd",animal,0,0
animal_intelligence_360,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,3,1314,1,2,0,14,"animal, animal_document, animal_enterprise_suite, animal_event, animal_health, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_weight, core, farm, herd",animal,0,0
animal_movement,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,5,1054,2,2,1,5,"animal, core, enterprise_platform, farm, herd","animal, animal_event, animal_intelligence_360, herd",0,0
animal_nutrition_enterprise,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,3,570,1,1,1,4,"animal, animal_enterprise_suite, farm, herd","animal, animal_executive_panel, animal_intelligence_360, animal_operations_center",0,0
animal_operations_center,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,3,1153,1,1,1,10,"animal, animal_document, animal_enterprise_suite, animal_health, animal_nutrition_enterprise, animal_reproduction, animal_weight, core, farm, herd","animal, animal_intelligence_360",0,0
animal_photo,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,1238,2,1,1,4,"animal, core, farm, herd","animal, animal_event, animal_intelligence_360",0,0
animal_reproduction,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,8,2692,3,4,1,5,"animal, core, farm, farm_handling, herd","animal, animal_event, animal_executive_panel, animal_intelligence_360, animal_operations_center, animal_reproduction_enterprise, core, dashboard, dr_beserra, executive_alerts, farm, indicators, livestock_operations, technical_dashboard",2,0
animal_reproduction_enterprise,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,1,249,1,0,0,5,"animal, animal_enterprise_suite, animal_reproduction, farm, herd",animal,0,0
animal_weight,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,6,1245,2,3,1,5,"animal, core, enterprise_platform, farm, herd","animal, animal_event, animal_executive_panel, animal_intelligence_360, animal_operations_center, animal_weight_intelligence, animal_zootechnical, herd, indicators, technical_dashboard",0,0
animal_weight_intelligence,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,1,251,1,0,0,5,"animal, animal_enterprise_suite, animal_weight, farm, herd",animal,0,0
animal_zootechnical,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,3,966,1,1,1,5,"animal, animal_weight, enterprise_platform, farm, herd",animal,0,0
authentication,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,731,4,0,0,3,"core, dashboard, enterprise_platform",core,0,0
consultancy_client,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,13,2485,4,5,4,6,"core, dashboard, enterprise_platform, farm, farm_agenda, reports",core,0,1
dashboard,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,30,34220,11,15,4,67,"action_plan, animal_health, animal_reproduction, atlas_ai, atlas_bi, atlas_bi_analytics, atlas_intelligence, atlas_os, autonomous_consultant, benefits_realization, command_center, consultancy_hub, consultancy_workflow, continuous_improvement, copilot, core, data_governance, decision_engine, decision_engine_v2, decision_intelligence_lab, diagnostics, digital_twin, enterprise_platform, executive_ai_advisor, executive_alerts, executive_brain, executive_core, executive_goals, executive_intelligence, executive_kpis, farm, farm_agenda, farm_audit, farm_finance, farm_inventory, farm_operations, herd, indicators, integration_hub, investment_capital_allocation, knowledge_learning, mission_control, nutrition, observability, offline_field, optimization_engine, performance_center, performance_intelligence, portfolio_management, predictive_ai, predictive_analytics, quality_center, recommendation_intelligence, reporting, reports, scenario_simulator, strategic_alignment, strategic_capacity, strategic_execution_engine, strategic_scenario_planning, strategy_center, strategy_execution, sync_platform, technical_dashboard, unified_workflow, value_governance, workflow_engine","authentication, consultancy_client, copilot, core, diagnostics",2,50
dr_beserra,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,11,3057,1,4,4,10,"animal, animal_health, animal_reproduction, farm, farm_agenda, farm_finance, farm_handling, farm_inventory, herd, nutrition",core,0,0
farm,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,8,7187,4,2,2,15,"animal, animal_health, animal_reproduction, atlas_ai, copilot, core, diagnostics, enterprise_platform, farm_agenda, farm_finance, farm_inventory, herd, nutrition, paddock, predictive","animal, animal_document, animal_event, animal_executive_panel, animal_health, animal_health_enterprise, animal_intelligence_360, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_reproduction_enterprise, animal_weight, animal_weight_intelligence, animal_zootechnical, atlas_advanced_ai, atlas_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai, consultancy_client, copilot, core, dashboard, diagnostics, dr_beserra, enterprise_platform, executive_alerts, farm_agenda, farm_finance, farm_handling, farm_inventory, field_operations, herd, indicators, livestock_operations, nutrition, paddock, predictive, reports, technical_dashboard",0,2
farm_agenda,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,2493,2,1,1,2,"core, farm","consultancy_client, core, dashboard, diagnostics, dr_beserra, executive_alerts, farm, reports",0,0
farm_finance,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,6,2910,3,2,1,3,"atlas_intelligence_center, core, farm","animal, core, dashboard, diagnostics, dr_beserra, executive_alerts, farm, farm_inventory, livestock_operations, reports, technical_dashboard",0,0
farm_handling,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,4,1556,1,1,2,4,"animal, enterprise_platform, farm, herd","animal_health, animal_reproduction, core, dr_beserra",1,0
farm_inventory,CANONICAL_DOMAIN,KEEP_AND_CONSOLIDATE,6,3579,3,2,1,3,"core, farm, farm_finance","animal_health, core, dashboard, diagnostics, dr_beserra, executive_alerts, farm, livestock_operations, nutrition, reports, technical_dashboard",0,0
